,geohash6,day,timestamp,demand
402,qp03x8,1,15:30,0.035535445030716394
407,qp03pr,18,21:45,0.09035734358434296
489,qp03pr,60,4:45,0.2200831275462053
1359,qp03pr,12,2:30,0.12168503854663873
1651,qp03x8,18,13:0,0.0008803792232037635
1783,qp098h,50,14:45,0.0943820709020727
1878,qp03x8,38,17:45,0.02438469200547356
2383,qp03pr,31,6:45,0.2517668794731616
2521,qp03x8,43,0:30,0.053500420632487215
2685,qp098h,60,6:45,0.17935381253866942
2742,qp03x8,28,16:0,0.024407770718654173
2876,qp03pr,3,14:45,0.2236067169045826
3596,qp03pr,52,2:0,0.12549879092267918
3610,qp03pr,34,18:15,0.07002955037623611
3665,qp03pr,45,7:0,0.2383730752297377
3738,qp03pr,44,0:45,0.11850461303149593
3873,qp03pr,17,23:30,0.09314072446130628
3962,qp098h,43,16:0,0.055976802504809874
4154,qp03x8,42,5:30,0.1436945639628025
4266,qp098h,31,3:15,0.16324420821113814
4683,qp03pr,43,15:45,0.09869590917933724
4729,qp098h,16,22:45,0.15520152611104224
4771,qp03x8,37,1:0,0.1460552019368965
5081,qp03pr,5,2:15,0.10153516882958354
5188,qp03pr,40,2:15,0.1665524070412674
5413,qp03x8,22,11:30,0.04660305655419876
5652,qp03pr,50,11:15,0.4325144773387017
6343,qp03pr,56,10:15,0.5009966441744761
7161,qp03x8,28,13:30,0.08891342983168557
7748,qp03pr,46,4:15,0.11011476834371353
7778,qp03x8,22,18:30,0.005104971822664109
7888,qp03pr,43,14:0,0.1224578326695942
8206,qp098h,8,5:30,0.18791000289865206
8421,qp098h,51,15:45,0.04848963796506373
8983,qp03x8,59,20:30,0.027494551079759698
9209,qp03x8,31,15:15,0.07286810186114627
9676,qp03pr,5,17:30,0.16749874019735742
10958,qp098h,60,10:15,0.16091515307644014
11639,qp03x8,33,5:0,0.16022626112530175
11818,qp03pr,22,22:30,0.0542103788941632
11887,qp03x8,60,5:0,0.09425613480103202
11997,qp03x8,23,22:45,0.10451596113671922
12285,qp03pr,8,2:30,0.1728223701473352
12430,qp03pr,3,8:15,0.23954944397979044
12794,qp03x8,41,3:15,0.08113196155802235
12829,qp03x8,9,18:0,0.0010906768289735793
12944,qp03pr,24,2:0,0.1616124760945961
13451,qp03pr,27,18:45,0.04732964819382394
13452,qp098h,21,17:30,0.03242097487523575
13563,qp03x8,44,7:45,0.0882656889319338
13661,qp098h,22,17:30,0.012505635823899942
14009,qp03pr,4,7:0,0.361564896875823
14026,qp098h,57,20:0,0.017870640096202043
15380,qp03x8,34,4:30,0.07409434989163988
15415,qp098h,39,17:15,0.06858977199667221
15691,qp098h,14,19:15,0.007579703961993769
15972,qp03pr,28,6:15,0.2055481141377292
16893,qp098h,6,0:0,0.03738272877591085
16918,qp03x8,30,17:30,0.00838809696434275
16977,qp03x8,33,12:45,0.1025944659102659
17240,qp03x8,17,11:0,0.09869180464272896
17346,qp03x8,23,18:15,0.010963475832394641
18085,qp03pr,26,19:30,0.10663763525701787
18437,qp098h,18,6:15,0.2509707147885065
18853,qp03pr,22,12:15,0.2359921781718333
18912,qp03pr,57,9:0,0.3328247826553503
18983,qp098h,26,5:45,0.2818999102066281
19127,qp098h,32,23:30,0.10541216614893564
19160,qp03pr,42,19:0,0.07081106940534072
19277,qp098h,3,20:45,0.05481632096639564
19552,qp098h,13,15:30,0.04045136561893068
20019,qp03pr,51,0:15,0.11771115528098328
20221,qp098h,53,6:45,0.22957640268450044
20286,qp03pr,46,13:45,0.14951878195321855
20485,qp03x8,18,5:30,0.16105779060632774
20686,qp03pr,60,13:45,0.2649945269856936
20748,qp098h,44,9:45,0.14895437022409738
21212,qp03x8,48,10:45,0.10003266052861913
21282,qp03pr,58,7:30,0.23142438131717954
21311,qp03x8,1,12:45,0.06428280820875305
21348,qp03pr,46,8:0,0.12143700569267013
21752,qp098h,6,1:0,0.06193104091493443
21841,qp03x8,47,21:45,0.013295732343573606
22076,qp03x8,36,20:30,0.03364166759060355
22731,qp03x8,27,5:30,0.09082121368407543
23013,qp098h,24,20:45,0.0370600012737
23324,qp03pr,30,13:15,0.21009182358271972
23370,qp03pr,42,16:30,0.14403524229989964
23778,qp098h,27,2:0,0.09865828945725097
23877,qp03x8,39,1:0,0.1577881126562072
25447,qp098h,51,2:45,0.1817511207317078
26084,qp098h,54,12:45,0.11626313908006522
26202,qp098h,16,10:45,0.12112873973912434
26644,qp03pr,56,13:15,0.20047215613100552
26970,qp03pr,13,13:45,0.11993904143568045
27271,qp03x8,18,11:0,0.0384257230241996
27295,qp03pr,52,18:30,0.07919797124026977
27438,qp03pr,49,17:0,0.06436672592861399
27538,qp03pr,7,18:45,0.031398841687688674
27719,qp098h,18,17:0,0.06876275249699237
28043,qp03pr,31,23:15,0.08205523895979816
28557,qp03x8,14,7:0,0.1097046252258044
28661,qp03pr,16,14:0,0.2712186487644407
28824,qp03x8,20,0:15,0.03370866976482713
29521,qp098h,36,15:45,0.10987447725890924
29728,qp03pr,7,12:0,0.2510632661371079
29825,qp03pr,10,9:30,0.3094710371252701
29846,qp098h,29,4:30,0.15063406096333054
29959,qp098h,26,2:0,0.1489491434948387
30313,qp03pr,26,13:0,0.10453080650951907
30354,qp03x8,9,19:30,0.01903152959911001
30379,qp03pr,39,19:15,0.09170382355571616
30964,qp098h,3,0:45,0.1738010622365691
31243,qp03pr,26,3:45,0.1397835146532884
31350,qp03x8,22,18:15,0.008764767293724511
31596,qp03x8,10,6:30,0.09784155999357967
31904,qp098h,49,8:45,0.1238831381627068
32003,qp098h,37,12:30,0.13059366599830155
32128,qp03pr,20,4:30,0.10657264580539803
32314,qp03x8,46,19:0,0.001977181768451561
32608,qp03x8,28,13:45,0.05704522928442037
32806,qp03x8,56,17:30,0.011819108659606916
32872,qp03x8,12,1:0,0.1008890535195845
32984,qp03x8,7,16:45,0.020256655034830724
33036,qp098h,3,15:45,0.06408728931690874
33195,qp03pr,24,17:15,0.13975094922212875
33279,qp03pr,32,4:15,0.1913585491143936
33554,qp03pr,7,10:0,0.2699532855520127
33731,qp03x8,43,22:0,0.1305532977037374
33875,qp03x8,14,6:0,0.10524959596697013
33892,qp03x8,45,10:45,0.16401579152626164
33894,qp098h,28,2:30,0.14404455088806353
34014,qp03pr,6,18:30,0.03865027432438868
34576,qp098h,45,21:15,0.052277245399684535
34944,qp03x8,42,20:0,0.005191033189025771
35267,qp098h,1,2:15,0.10507604706520113
35442,qp03x8,53,2:0,0.130647232785293
35826,qp098h,48,13:15,0.12917525959587714
35920,qp098h,8,11:30,0.15385251096133326
35982,qp03x8,8,10:15,0.08242259598075326
36256,qp098h,18,6:30,0.21717607279979026
36435,qp098h,34,10:30,0.10668848590897803
36540,qp03pr,8,0:30,0.15388766449184207
36780,qp03x8,1,15:15,0.015221028334867544
36898,qp098h,61,3:45,0.15710404159542468
38505,qp03pr,20,2:45,0.073527060551194
38657,qp03pr,1,7:0,0.15639244578752434
38949,qp03x8,21,20:30,0.04392998470335775
